60,27
60,32
60,36
60,50
60,73
60,73
60,73
60,73
60,75
60,76
60,76
60,73
60,64
60,46
60,27
60,18
60,9
60,4
60,2
60,4
60,9
60,18
60,27
60,50
60,64
60,69
60,73
60,75
60,76
60,78
60,77
60,77
60,78
60,78
60,78
60,76
60,64
60,55
60,36
60,27
60,18
60,9
60,4
60,4
60,9
60,27
60,46
60,55
60,27
60,32
60,36
60,50
60,73
60,73
60,73
60,73
60,75
60,76
60,76
60,73
60,64
60,46
60,27
60,18
60,9
60,4
60,2
60,4
60,9
60,18
60,27
60,50
60,64
60,69
60,73
60,75
60,76
60,78
60,77
60,77
60,78
60,78
60,78
60,76
60,64
60,55
60,36
60,27
60,18
60,9
60,4
60,4
60,9
60,27
60,46
60,55
